NO,item,date,bulding,phase,value_without_vat,ratio,comul_total_wihout_vat,com_Ratio,act_com_ratio,value,total
70,bill(3)-3,2/28/2023,"Buldings (15,14,13,10,9,8)",three,1419801.6,3.30,7793587.20,18.12,19.08,1632771.84,8962625.28
71,bill(3)-4,3/25/2023,"Buldings (15,14,13,10,9,8)",three,1160764.42,2.70,8954351.62,20.82,21.92,1334879.083,10297504.36
72,bill(3)-5,5/3/2023,"Buldings (15,14,13,10,9,8)",three,1787520,4.16,10741871.62,24.98,26.29,2055648,12353152.36
73,bill(3)-6,5/27/2023,"Buldings (15,14,13,10,9,8)",three,1169140.22,2.72,11911011.84,27.69,29.15,1344511.253,13697663.62
74,bill(3)-7,6/18/2023,"Buldings (15,14,13,10,9,8)",three,1194063.36,2.78,13105075.20,30.47,32.08,1373172.864,15070836.48
75,bill(3)-8,7/29/2023,"Buldings (15,14,13,10,9,8)",three,1190999.04,2.77,14296074.24,33.24,34.99,1369648.896,16440485.38
76,bill(3)-9,9/30/2023,"Buldings (15,14,13,10,9,8)",three,2326840.32,5.41,16622914.56,38.65,40.69,2675866.368,19116351.74
77,bill(3)-10,11/8/2023,"Buldings (15,14,13,10,9,8)",three,1225728,2.85,17848642.56,41.50,43.69,1409587.2,20525938.94
78,bill(3)-11,12/9/2023,"Buldings (15,14,13,10,9,8)",three,3970337.28,9.23,21818979.84,50.73,53.40,4565887.872,25091826.82
79,bill(3)-12,1/14/2024,"Buldings (15,14,13,10,9,8)",three,2740523.52,6.37,24559503.36,57.10,60.11,3151602.048,28243428.86
80,bill(3)-13,2/10/2024,"Buldings (15,14,13,10,9,8)",three,2225717.76,5.18,26785221.12,62.28,65.56,2559575.424,30803004.29
81,bill(3)-14,3/23/2024,"Buldings (15,14,13,10,9,8)",three,3600320.64,8.37,30385541.76,70.65,74.37,4140368.736,34943373.02
82,bill(3)-15,5/15/2024,"Buldings (15,14,13,10,9,8)",three,331099.78,0.77,30716641.54,71.42,75.18,380764.747,35324137.77
83,bill(3)-16,6/9/2024,"Buldings (15,14,13,10,9,8)",three,1256371.2,2.92,31973012.74,74.34,78.25,1444826.88,36768964.65
84,bill(3)-17,15/07/2024,"Buldings (15,14,13,10,9,8)",three,1418780.16,3.30,33391792.90,77.64,81.73,1631597.184,38400561.84
85,bill(3)-18,27/08/2024,"Buldings (15,14,13,10,9,8)",three,801830.4,1.86,34193623.30,79.51,83.69,922104.96,39322666.8
86,bill(3)-19,12/10/2024,"Buldings (15,14,13,10,9,8)",three,105565.82,0.25,34299189.12,79.75,83.95,121400.693,39444067.49
87,bill(3)-20,12/11/2024,"Buldings (15,14,13,10,9,8)",three,578135.04,1.34,34877324.16,81.09,85.36,664855.296,40108922.78
88,bill(3)-21,26/12/2024,"Buldings (15,14,13,10,9,8)",three,377932.80,0.88,35255256.96,81.97,86.29,434622.72,40543545.5
,,,,,,,,,,,
,,,,,,,,,,,
